variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eatqes_scrdAgg,EATQ (Spanish version) aggression subscore,"average of eatqes items 2, 11, 19, 25, 32, 41, and 42* after asterisked items are reversed (NA if eatqes_percAgg < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
eatqes_scrdAtt,EATQ (Spanish version) attention subscore,"average of eatqes items 15, 22*, 35*, 39, 49*, and 60 after asterisked items are reversed (NA if eatqes_percAtt < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
eatqes_scrdDM,EATQ (Spanish version) depressive mood subscore,"average of eatqes items 7, 10, 26, 33, and 52 (NA if eatqes_percDM < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
eatqes_scrdFear,EATQ (Spanish version) fear subscore,"average of eatqes items 1, 30, 48, 53, 55, and 61 (NA if eatqes_percFear < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
eatqes_scrdFrus,EATQ (Spanish version) frustration subscore,"average of eatqes items 20, 21, 31, 45, 57, and 58 (NA if eatqes_percFrus < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
eatqes_percAC,EATQ (Spanish version) activation control percentage response,percentage of response for eatqes activation control items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percAff,EATQ (Spanish version) affiliation percentage response,percentage of response for eatqes affiliation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percAgg,EATQ (Spanish version) aggression percentage response,percentage of response for eatqes aggression items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percAtt,EATQ (Spanish version) attention percentage response,percentage of response for eatqes attention items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percDM,EATQ (Spanish version) depressive mood percentage response,percentage of response for eatqes depressive mood items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percFear,EATQ (Spanish version) fear percentage response,percentage of response for eatqes fear items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eatqes_percFrus,EATQ (Spanish version) frustration percentage response,percentage of response for eatqes frustration items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
